# mgluino (GeV), width (GeV), limit (pb)
1100.000000,6.58212e-16,0.000291
1100.000000,2.68637e-15,0.000191
1100.000000,1.06848e-15,0.000240
1100.000000,4.25173e-16,0.000355
1100.000000,1.64538e-15,0.000211
1100.000000,1.97091e-15,0.000201
1100.000000,7.85463e-16,0.000268
1100.000000,3.12655e-16,0.000431
1100.000000,2.30073e-16,0.000541
1100.000000,1.69264e-16,0.000683
1100.000000,1.24499e-16,0.000899
1100.000000,9.15937e-17,0.001095
1100.000000,6.73699e-17,0.001410
1100.000000,4.95868e-17,0.001871
1100.000000,3.64222e-17,0.002602
1100.000000,2.68143e-17,0.002730
1100.000000,2.19465e-17,0.003081
1300.000000,3.64222e-17,0.002296
1300.000000,2.68143e-17,0.002800
1300.000000,2.19465e-17,0.003270
1300.000000,2.68637e-15,0.000171
1300.000000,1.97091e-15,0.000180
1300.000000,1.64538e-15,0.000185
1300.000000,1.06848e-15,0.000211
1300.000000,6.58212e-16,0.000261
1300.000000,4.25173e-16,0.000325
1300.000000,3.12655e-16,0.000368
1300.000000,2.19415e-16,0.000459
1300.000000,1.24499e-16,0.000759
1300.000000,9.15937e-17,0.000935
1300.000000,6.58212e-17,0.001266
1300.000000,7.85463e-16,0.000236
1300.000000,1.69264e-16,0.000571
1300.000000,4.95868e-17,0.001681
1400.000000,2.19404e-13,0.038873
1400.000000,6.58212e-14,0.001641
1400.000000,1.64553e-14,0.000240
1400.000000,6.58212e-15,0.000171
1400.000000,1.64553e-15,0.000188
1400.000000,6.58212e-16,0.000248
1400.000000,2.19404e-16,0.000446
1400.000000,6.58212e-17,0.001209
1400.000000,2.68242e-17,0.002410
1400.000000,2.19404e-17,0.002790
1400.000000,1.31642e-17,0.004324
1500.000000,1.06848e-15,0.000192
1500.000000,7.85463e-16,0.000216
1500.000000,6.58212e-16,0.000232
1500.000000,4.25173e-16,0.000279
1500.000000,3.12655e-16,0.000334
1500.000000,2.30073e-16,0.000423
1500.000000,1.69264e-16,0.000545
1500.000000,1.24499e-16,0.000692
1500.000000,9.15937e-17,0.000905
1500.000000,6.73699e-17,0.001189
1500.000000,4.95868e-17,0.001547
1500.000000,3.64222e-17,0.001939
1500.000000,2.68143e-17,0.002680
1500.000000,2.19465e-17,0.003141
1600.000000,1.06848e-15,0.000189
1600.000000,7.85463e-16,0.000210
1600.000000,6.58212e-16,0.000225
1600.000000,4.25173e-16,0.000275
1600.000000,3.12655e-16,0.000321
1600.000000,2.30073e-16,0.000383
1600.000000,1.69264e-16,0.000469
1600.000000,1.24499e-16,0.000572
1600.000000,9.15937e-17,0.000743
1600.000000,6.73699e-17,0.000964
1600.000000,4.95868e-17,0.001251
1600.000000,3.64222e-17,0.001587
1600.000000,2.68143e-17,0.002356
1600.000000,2.19465e-17,0.002845
1600.000000,4.389e-14,0.000672
1600.000000,3.13593e-14,0.000430
1600.000000,2.27178e-14,0.000308
1600.000000,1.68797e-14,0.000237
1600.000000,1.2427e-14,0.000199
1600.000000,9.14883e-15,0.000176
1600.000000,6.71995e-15,0.000166
1600.000000,4.94841e-15,0.000158
1600.000000,3.63635e-15,0.000153
1200.000000,2.68637e-15,0.000189
1200.000000,1.97091e-15,0.000198
1200.000000,1.64538e-15,0.000206
1200.000000,1.06848e-15,0.000236
