txName: TScharm
constraint: [[['c']],[['c']]]
condition: None
conditionDescription: None
susyProcess: pp --> scharm scharm, scharm  --> charm lsp
checked: NO
figureUrl: http://hepdata.cedar.ac.uk/resource/1337472/figAuxiliaryFigure9b.png
dataUrl: http://hepdata.cedar.ac.uk/view/ins1337472/first
source: ATLAS
validated: True
axes: [[x, y], [x, y]]
efficiencyMap: [[[[100*GeV,1*GeV],[100*GeV,1*GeV]],6.22e-07],
[[[200*GeV,1*GeV],[200*GeV,1*GeV]],2.65e-05],
[[[300*GeV,1*GeV],[300*GeV,1*GeV]],0.00177],
[[[400*GeV,1*GeV],[400*GeV,1*GeV]],0.00442],
[[[500*GeV,1*GeV],[500*GeV,1*GeV]],0.00611],
[[[600*GeV,1*GeV],[600*GeV,1*GeV]],0.00764],
[[[150*GeV,50*GeV],[150*GeV,50*GeV]],4.47e-06],
[[[200*GeV,75*GeV],[200*GeV,75*GeV]],2.49e-05],
[[[250*GeV,50*GeV],[250*GeV,50*GeV]],0.000359],
[[[350*GeV,50*GeV],[350*GeV,50*GeV]],0.0029],
[[[450*GeV,50*GeV],[450*GeV,50*GeV]],0.00563],
[[[550*GeV,50*GeV],[550*GeV,50*GeV]],0.00679],
[[[650*GeV,50*GeV],[650*GeV,50*GeV]],0.00694],
[[[300*GeV,100*GeV],[300*GeV,100*GeV]],0.00092],
[[[400*GeV,100*GeV],[400*GeV,100*GeV]],0.00363],
[[[500*GeV,100*GeV],[500*GeV,100*GeV]],0.00646],
[[[600*GeV,100*GeV],[600*GeV,100*GeV]],0.00733],
[[[250*GeV,150*GeV],[250*GeV,150*GeV]],1.79e-05],
[[[350*GeV,150*GeV],[350*GeV,150*GeV]],0.00126],
[[[450*GeV,150*GeV],[450*GeV,150*GeV]],0.00447],
[[[550*GeV,150*GeV],[550*GeV,150*GeV]],0.00644],
[[[650*GeV,150*GeV],[650*GeV,150*GeV]],0.00947],
[[[300*GeV,200*GeV],[300*GeV,200*GeV]],2.36e-05],
[[[400*GeV,200*GeV],[400*GeV,200*GeV]],0.00166],
[[[500*GeV,200*GeV],[500*GeV,200*GeV]],0.00532],
[[[600*GeV,200*GeV],[600*GeV,200*GeV]],0.00718],
[[[350*GeV,250*GeV],[350*GeV,250*GeV]],4.16e-05],
[[[450*GeV,250*GeV],[450*GeV,250*GeV]],0.00187],
[[[550*GeV,250*GeV],[550*GeV,250*GeV]],0.00534],
[[[650*GeV,250*GeV],[650*GeV,250*GeV]],0.00719],
[[[400*GeV,300*GeV],[400*GeV,300*GeV]],4.89e-05],
[[[500*GeV,300*GeV],[500*GeV,300*GeV]],0.00244],
[[[600*GeV,300*GeV],[600*GeV,300*GeV]],0.00586],
[[[450*GeV,350*GeV],[450*GeV,350*GeV]],5.35e-05],
[[[500*GeV,400*GeV],[500*GeV,400*GeV]],9.09e-05],
[[[600*GeV,400*GeV],[600*GeV,400*GeV]],0.00256]]
