#            mprod               mint              mhscp              width               c300
     1.0500000e+02      1.0300000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      6.5000000e+02      0.0000000e+00      3.3074301e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e-18      3.1547002e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      5.6000000e-18      2.5396479e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      2.2000000e-17      1.1888768e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      4.6000000e-17      4.1293114e-02
     1.5000000e+03      1.4950000e+03      6.5000000e+02      6.8000000e-17      1.6559213e-02
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e-16      4.7460527e-03
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.5000000e-16      7.7625504e-04
     1.5000000e+03      1.4950000e+03      6.5000000e+02      2.2000000e-16      7.5176515e-05
     1.5000000e+03      1.4950000e+03      6.5000000e+02      3.2000000e-16      3.4927623e-06
     1.5000000e+03      1.4950000e+03      6.5000000e+02      4.6000000e-16      6.7083712e-08
     1.5000000e+03      1.4950000e+03      6.5000000e+02      6.8000000e-16      2.2845514e-10
     1.0500000e+02      1.0300000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.1000000e+02      1.0500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.1000000e+03      0.0000000e+00      2.5927192e-01
     1.5000000e+03      1.4950000e+03      1.1000000e+03      1.0000000e-18      2.4386369e-01
     1.5000000e+03      1.4950000e+03      1.1000000e+03      5.6000000e-18      1.8438613e-01
     1.5000000e+03      1.4950000e+03      1.1000000e+03      3.2000000e-17      3.9769409e-02
     1.5000000e+03      1.4950000e+03      1.1000000e+03      4.6000000e-17      1.8510080e-02
     1.5000000e+03      1.4950000e+03      1.1000000e+03      6.8000000e-17      5.9309230e-03
     1.5000000e+03      1.4950000e+03      1.1000000e+03      1.0000000e-16      1.2769515e-03
     1.5000000e+03      1.4950000e+03      1.1000000e+03      1.5000000e-16      1.4386956e-04
     1.5000000e+03      1.4950000e+03      1.1000000e+03      2.2000000e-16      9.1122261e-06
     1.5000000e+03      1.4950000e+03      1.1000000e+03      3.2000000e-16      2.5618462e-07
     1.5000000e+03      1.4950000e+03      1.1000000e+03      4.6000000e-16      2.7044065e-09
     1.1000000e+02      1.0500000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2000000e+02      1.0500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.1000000e+03      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.2000000e+03      1.0000000e-22      2.2149090e-01
     1.5000000e+03      1.4950000e+03      1.2000000e+03      0.0000000e+00      2.2149233e-01
     1.5000000e+03      1.4950000e+03      1.2000000e+03      1.0000000e-18      2.0769818e-01
     1.5000000e+03      1.4950000e+03      1.2000000e+03      5.6000000e-18      1.5498073e-01
     1.5000000e+03      1.4950000e+03      1.2000000e+03      3.2000000e-17      3.1330093e-02
     1.5000000e+03      1.4950000e+03      1.2000000e+03      4.6000000e-17      1.4134852e-02
     1.5000000e+03      1.4950000e+03      1.2000000e+03      6.8000000e-17      4.3251500e-03
     1.5000000e+03      1.4950000e+03      1.2000000e+03      1.0000000e-16      8.7616864e-04
     1.5000000e+03      1.4950000e+03      1.2000000e+03      1.5000000e-16      9.0847268e-05
     1.5000000e+03      1.4950000e+03      1.2000000e+03      2.2000000e-16      5.2051449e-06
     1.5000000e+03      1.4950000e+03      1.2000000e+03      3.2000000e-16      1.2861911e-07
     1.5000000e+03      1.4950000e+03      1.2000000e+03      4.6000000e-16      1.1336904e-09
     1.2000000e+02      1.0500000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2000000e+02      1.1000000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.2000000e+03      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.4000000e+03      1.0000000e-22      1.2648070e-01
     1.5000000e+03      1.4950000e+03      1.4000000e+03      0.0000000e+00      1.2648160e-01
     1.5000000e+03      1.4950000e+03      1.4000000e+03      1.0000000e-18      1.1780598e-01
     3.0000000e+03      2.9070000e+03      2.5000000e+03      3.2000000e-17      1.9140585e-04
     1.5000000e+03      1.4950000e+03      1.4000000e+03      5.6000000e-18      8.5390831e-02
     1.5000000e+03      1.4950000e+03      1.4000000e+03      1.5000000e-17      4.5221508e-02
     3.0000000e+03      2.9070000e+03      2.5000000e+03      4.6000000e-17      7.1356891e-05
     1.5000000e+03      1.4950000e+03      1.4000000e+03      3.2000000e-17      1.5207851e-02
     1.5000000e+03      1.4950000e+03      1.4000000e+03      4.6000000e-17      6.5084065e-03
     1.5000000e+03      1.4950000e+03      1.4000000e+03      6.8000000e-17      1.8503531e-03
     1.5000000e+03      1.4950000e+03      1.4000000e+03      1.0000000e-16      3.4054174e-04
     1.5000000e+03      1.4950000e+03      1.4000000e+03      1.5000000e-16      3.0800454e-05
     1.5000000e+03      1.4950000e+03      1.4000000e+03      2.2000000e-16      1.4926904e-06
     1.5000000e+03      1.4950000e+03      1.4000000e+03      3.2000000e-16      3.0721636e-08
     1.5000000e+03      1.4950000e+03      1.4000000e+03      4.6000000e-16      2.2837588e-10
     3.0000000e+03      2.9070000e+03      2.5000000e+03      1.0000000e-16      1.9900162e-06
     3.0000000e+03      2.9070000e+03      2.5000000e+03      6.8000000e-17      1.5956432e-05
     1.2000000e+02      1.1000000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2000000e+02      1.1500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.5500000e+03      1.4050000e+03      1.4000000e+03      1.0000000e-22      1.2283789e-01
     1.5500000e+03      1.4050000e+03      1.4000000e+03      0.0000000e+00      1.2283877e-01
     1.5500000e+03      1.4050000e+03      1.4000000e+03      1.0000000e-18      1.1434922e-01
     1.5500000e+03      1.4050000e+03      1.4000000e+03      5.6000000e-18      8.2688413e-02
     1.5500000e+03      1.4050000e+03      1.4000000e+03      2.2000000e-17      2.7524398e-02
     1.5500000e+03      1.4050000e+03      1.4000000e+03      3.2000000e-17      1.4566582e-02
     1.5500000e+03      1.4050000e+03      1.4000000e+03      4.6000000e-17      6.2020929e-03
     1.5500000e+03      1.4050000e+03      1.4000000e+03      6.8000000e-17      1.7497459e-03
     1.5500000e+03      1.4050000e+03      1.4000000e+03      1.0000000e-16      3.1850923e-04
     1.5500000e+03      1.4050000e+03      1.4000000e+03      1.5000000e-16      2.8275329e-05
     1.5500000e+03      1.4050000e+03      1.4000000e+03      2.2000000e-16      1.3267900e-06
     1.5500000e+03      1.4050000e+03      1.4000000e+03      3.2000000e-16      2.5852498e-08
     1.5500000e+03      1.4050000e+03      1.4000000e+03      4.6000000e-16      1.7911528e-10
     1.2000000e+02      1.1500000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.3000000e+02      1.0500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5500000e+03      1.4050000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.5500000e+03      1.4390000e+03      1.4000000e+03      1.0000000e-22      1.2188612e-01
     1.5500000e+03      1.4390000e+03      1.4000000e+03      0.0000000e+00      1.2188699e-01
     1.5500000e+03      1.4390000e+03      1.4000000e+03      1.0000000e-18      1.1349786e-01
     1.5500000e+03      1.4390000e+03      1.4000000e+03      5.6000000e-18      8.2156744e-02
     1.5500000e+03      1.4390000e+03      1.4000000e+03      2.2000000e-17      2.7364274e-02
     1.5500000e+03      1.4390000e+03      1.4000000e+03      3.2000000e-17      1.4471760e-02
     1.5500000e+03      1.4390000e+03      1.4000000e+03      4.6000000e-17      6.1529600e-03
     1.5500000e+03      1.4390000e+03      1.4000000e+03      6.8000000e-17      1.7317762e-03
     1.5500000e+03      1.4390000e+03      1.4000000e+03      1.0000000e-16      3.1443711e-04
     1.5500000e+03      1.4390000e+03      1.4000000e+03      1.5000000e-16      2.7884814e-05
     1.5500000e+03      1.4390000e+03      1.4000000e+03      2.2000000e-16      1.3117148e-06
     1.5500000e+03      1.4390000e+03      1.4000000e+03      3.2000000e-16      2.5672262e-08
     1.5500000e+03      1.4390000e+03      1.4000000e+03      4.6000000e-16      1.7701680e-10
     1.3000000e+02      1.0500000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.3000000e+02      1.1500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5500000e+03      1.4390000e+03      1.4000000e+03      1.0000000e+06      0.0000000e+00
     1.5500000e+03      1.4730000e+03      1.4000000e+03      1.0000000e-22      1.2089188e-01
