#            mhscp              width               c100
     4.5000000e+01      0.0000000e+00      0.0000000e+00
     4.5000000e+01      1.0000000e+06      0.0000000e+00
     5.0000000e+01      0.0000000e+00      0.0000000e+00
     5.0000000e+01      1.0000000e+06      0.0000000e+00
     5.5000000e+01      0.0000000e+00      0.0000000e+00
     5.5000000e+01      1.0000000e+06      0.0000000e+00
     6.0000000e+01      0.0000000e+00      0.0000000e+00
     6.0000000e+01      1.0000000e+06      0.0000000e+00
     6.5000000e+01      0.0000000e+00      0.0000000e+00
     6.5000000e+01      1.0000000e+06      0.0000000e+00
     7.5000000e+01      0.0000000e+00      0.0000000e+00
     7.5000000e+01      1.0000000e+06      0.0000000e+00
     8.0000000e+01      0.0000000e+00      0.0000000e+00
     8.0000000e+01      1.0000000e+06      0.0000000e+00
     1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.2500000e+02      0.0000000e+00      0.0000000e+00
     1.2500000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+02      1.0000000e+06      0.0000000e+00
     1.7500000e+02      0.0000000e+00      3.0727021e-01
     1.7500000e+02      1.0000000e-19      3.0612446e-01
     1.7500000e+02      3.2000000e-18      2.7204753e-01
     1.7500000e+02      1.0000000e-17      2.0773104e-01
     1.7500000e+02      4.6000000e-17      4.7229076e-02
     1.7500000e+02      6.8000000e-17      1.9684072e-02
     1.7500000e+02      1.0000000e-16      5.8766763e-03
     1.7500000e+02      1.5000000e-16      1.0163777e-03
     1.7500000e+02      2.2000000e-16      1.0728319e-04
     1.7500000e+02      3.2000000e-16      5.7739095e-06
     1.7500000e+02      4.6000000e-16      1.4233124e-07
     1.7500000e+02      6.8000000e-16      8.4650187e-10
     1.7500000e+02      1.0000000e+06      0.0000000e+00
     2.0000000e+02      0.0000000e+00      3.4555614e-01
     2.0000000e+02      1.0000000e-19      3.4428730e-01
     2.0000000e+02      3.2000000e-18      3.0643803e-01
     2.0000000e+02      1.0000000e-17      2.3453376e-01
     2.0000000e+02      4.6000000e-17      5.3426813e-02
     2.0000000e+02      6.8000000e-17      2.2192419e-02
     2.0000000e+02      1.0000000e-16      6.5572908e-03
     2.0000000e+02      1.5000000e-16      1.1016353e-03
     2.0000000e+02      2.2000000e-16      1.0919472e-04
     2.0000000e+02      3.2000000e-16      5.2358458e-06
     2.0000000e+02      4.6000000e-16      1.0973596e-07
     2.0000000e+02      6.8000000e-16      5.3623343e-10
     2.0000000e+02      1.0000000e+06      0.0000000e+00
     2.2500000e+02      0.0000000e+00      3.7837979e-01
     2.2500000e+02      1.0000000e-19      3.7699052e-01
     2.2500000e+02      3.2000000e-18      3.3550586e-01
