#            mprod               mint              mhscp              width               c300
     1.0500000e+02      1.0300000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      6.5000000e+02      0.0000000e+00      6.1788991e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e-19      6.1521374e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      3.2000000e-18      5.3728614e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e-17      3.9766373e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      2.2000000e-17      2.3327079e-01
     1.5000000e+03      1.4950000e+03      6.5000000e+02      4.6000000e-17      8.2375072e-02
     1.5000000e+03      1.4950000e+03      6.5000000e+02      6.8000000e-17      3.3207149e-02
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e-16      9.5416327e-03
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.5000000e-16      1.5616923e-03
     1.5000000e+03      1.4950000e+03      6.5000000e+02      2.2000000e-16      1.5114336e-04
     1.5000000e+03      1.4950000e+03      6.5000000e+02      3.2000000e-16      7.0100807e-06
     1.5000000e+03      1.4950000e+03      6.5000000e+02      4.6000000e-16      1.3436420e-07
     1.5000000e+03      1.4950000e+03      6.5000000e+02      6.8000000e-16      4.5739074e-10
     1.0500000e+02      1.0300000e+02      1.0000000e+02      1.0000000e+06      0.0000000e+00
     1.1000000e+02      1.0500000e+02      1.0000000e+02      0.0000000e+00      0.0000000e+00
     1.5000000e+03      1.4950000e+03      6.5000000e+02      1.0000000e+06      0.0000000e+00
     1.5000000e+03      1.4950000e+03      1.1000000e+03      0.0000000e+00      5.0084113e-01
     1.5000000e+03      1.4950000e+03      1.1000000e+03      1.0000000e-18      4.7164222e-01
     1.5000000e+03      1.4950000e+03      1.1000000e+03      5.6000000e-18      3.5844585e-01
     1.5000000e+03      1.4950000e+03      1.1000000e+03      3.2000000e-17      7.8620562e-02
     1.5000000e+03      1.4950000e+03      1.1000000e+03      4.6000000e-17      3.6722803e-02
     1.5000000e+03      1.4950000e+03      1.1000000e+03      6.8000000e-17      1.1802883e-02
