#            mhscp              width               c000
     4.5000000e+01      0.0000000e+00      4.1372081e-08
     4.5000000e+01      1.0000000e-22      4.1372061e-08
     4.5000000e+01      1.0000000e-20      4.1370084e-08
     4.5000000e+01      1.0000000e-19      4.1352117e-08
     4.5000000e+01      5.0000000e-19      4.1272366e-08
     4.5000000e+01      1.0000000e-18      4.1172908e-08
     4.5000000e+01      1.8000000e-18      4.1014307e-08
     4.5000000e+01      3.2000000e-18      4.0738322e-08
     4.5000000e+01      5.6000000e-18      4.0269805e-08
     4.5000000e+01      1.0000000e-17      3.9425715e-08
     4.5000000e+01      1.5000000e-17      3.8489352e-08
     4.5000000e+01      2.2000000e-17      3.7218008e-08
     4.5000000e+01      3.2000000e-17      3.5478661e-08
     4.5000000e+01      4.6000000e-17      3.3187013e-08
     4.5000000e+01      6.8000000e-17      2.9896684e-08
     4.5000000e+01      1.0000000e-16      2.5710799e-08
     4.5000000e+01      1.5000000e-16      2.0356007e-08
     4.5000000e+01      2.2000000e-16      1.4732529e-08
     4.5000000e+01      3.2000000e-16      9.3352956e-09
     4.5000000e+01      4.6000000e-16      4.9676093e-09
     4.5000000e+01      6.8000000e-16      1.8662724e-09
     4.5000000e+01      1.0000000e-15      4.5779153e-10
     4.5000000e+01      1.5000000e-15      5.2874079e-11
     4.5000000e+01      2.2000000e-15      2.7773869e-12
     4.5000000e+01      3.2000000e-15      4.7655740e-14
     4.5000000e+01      5.6000000e-15      4.2499697e-18
     4.5000000e+01      1.0000000e-14      2.3973321e-25
     4.5000000e+01      1.8000000e-14      1.7239952e-38
     4.5000000e+01      3.7000000e-14      1.0546316e-69
     4.5000000e+01      1.0000000e-13      3.3568068e-173
     4.5000000e+01      1.0000000e-12      0.0000000e+00
     4.5000000e+01      1.0000000e+06      0.0000000e+00
     5.0000000e+01      0.0000000e+00      2.5407508e-06
     5.0000000e+01      1.0000000e-22      2.5407434e-06
     5.0000000e+01      1.0000000e-20      2.5400099e-06
     5.0000000e+01      1.0000000e-19      2.5333512e-06
