txName: T2ttoff
constraint: [[['W','b']],[['W','b']]]
condition: None
conditionDescription: None
susyProcess: pp --> stop stop, stop  --> top^* lsp
figureUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13015/picked_eff_T2tt_highMET.png
dataUrl: https://twiki.cern.ch/twiki/pub/CMSPublic/PhysicsResultsSUS13015
source: CMS
validated: True
axes: [[x, y], [x, y]]
efficiencyMap: [[[[200*GeV,50*GeV],[200*GeV,50*GeV]],1.5339e-05],
[[[200*GeV,75*GeV],[200*GeV,75*GeV]],9.8898e-06],
[[[200*GeV,100*GeV],[200*GeV,100*GeV]],4.3372e-06],
[[[225*GeV,75*GeV],[225*GeV,75*GeV]],6.9761e-05],
[[[225*GeV,100*GeV],[225*GeV,100*GeV]],2.9023e-05],
[[[225*GeV,125*GeV],[225*GeV,125*GeV]],3.1118e-05],
[[[250*GeV,100*GeV],[250*GeV,100*GeV]],8.6348e-05],
[[[250*GeV,125*GeV],[250*GeV,125*GeV]],2.6844e-05],
[[[250*GeV,150*GeV],[250*GeV,150*GeV]],2.345e-05],
[[[275*GeV,125*GeV],[275*GeV,125*GeV]],3.8725e-05],
[[[275*GeV,150*GeV],[275*GeV,150*GeV]],4.2521e-05],
[[[275*GeV,175*GeV],[275*GeV,175*GeV]],5.1595e-06],
[[[300*GeV,150*GeV],[300*GeV,150*GeV]],0.00015775],
[[[300*GeV,175*GeV],[300*GeV,175*GeV]],5.0638e-05],
[[[300*GeV,200*GeV],[300*GeV,200*GeV]],1.7218e-05],
[[[325*GeV,175*GeV],[325*GeV,175*GeV]],0.00012138],
[[[325*GeV,200*GeV],[325*GeV,200*GeV]],7.6927e-05],
[[[325*GeV,225*GeV],[325*GeV,225*GeV]],4.4782e-05],
[[[350*GeV,200*GeV],[350*GeV,200*GeV]],0.00015712],
[[[350*GeV,225*GeV],[350*GeV,225*GeV]],0.00017257],
[[[350*GeV,250*GeV],[350*GeV,250*GeV]],3.8883e-05],
[[[375*GeV,225*GeV],[375*GeV,225*GeV]],0.00024339],
[[[375*GeV,250*GeV],[375*GeV,250*GeV]],9.7444e-05],
[[[375*GeV,275*GeV],[375*GeV,275*GeV]],5.4447e-05],
[[[400*GeV,250*GeV],[400*GeV,250*GeV]],0.00024242],
[[[400*GeV,275*GeV],[400*GeV,275*GeV]],0.00018487],
[[[400*GeV,300*GeV],[400*GeV,300*GeV]],9.8006e-05],
[[[425*GeV,275*GeV],[425*GeV,275*GeV]],0.0003339],
[[[425*GeV,300*GeV],[425*GeV,300*GeV]],0.00017788],
[[[425*GeV,325*GeV],[425*GeV,325*GeV]],3.7865e-05],
[[[450*GeV,300*GeV],[450*GeV,300*GeV]],0.00028344],
[[[450*GeV,325*GeV],[450*GeV,325*GeV]],0.00014299],
[[[450*GeV,350*GeV],[450*GeV,350*GeV]],4.5295e-05],
[[[475*GeV,325*GeV],[475*GeV,325*GeV]],0.00039423],
[[[475*GeV,350*GeV],[475*GeV,350*GeV]],0.00020981],
[[[475*GeV,375*GeV],[475*GeV,375*GeV]],3.4061e-05],
[[[500*GeV,350*GeV],[500*GeV,350*GeV]],0.00054243],
[[[500*GeV,375*GeV],[500*GeV,375*GeV]],0.00022643],
[[[500*GeV,400*GeV],[500*GeV,400*GeV]],8.3806e-05],
[[[525*GeV,375*GeV],[525*GeV,375*GeV]],0.00046514],
[[[525*GeV,400*GeV],[525*GeV,400*GeV]],0.00022821],
[[[550*GeV,400*GeV],[550*GeV,400*GeV]],0.0004353]]
