txName: T6bbWW
conditionDescription: None
condition: None
constraint: [[['b'],['W']],[['b'],['W']]]
dataUrl: https://twiki.cern.ch/twiki/bin/view/CMSPublic/PhysicsResultsSUS13013
validated: None
axes: 2*Eq(mother,x)_Eq(inter0,y)_Eq(lsp,50);2*Eq(mother,x)_Eq(inter0,2.0*y)_Eq(lsp,y);2*Eq(mother,x)_Eq(inter0,1.25*y)_Eq(lsp,y)
publishedData: True
upperLimits: [[[[325.0*GeV, 150.0*GeV, 50*GeV], [325.0*GeV, 150.0*GeV, 50*GeV]], 0.145311*pb],
[[[350.0*GeV, 150.0*GeV, 50*GeV], [350.0*GeV, 150.0*GeV, 50*GeV]], 0.126648*pb],
[[[350.0*GeV, 175.0*GeV, 50*GeV], [350.0*GeV, 175.0*GeV, 50*GeV]], 0.124125*pb],
[[[375.0*GeV, 150.0*GeV, 50*GeV], [375.0*GeV, 150.0*GeV, 50*GeV]], 0.10556*pb],
[[[375.0*GeV, 175.0*GeV, 50*GeV], [375.0*GeV, 175.0*GeV, 50*GeV]], 0.106671*pb],
[[[375.0*GeV, 200.0*GeV, 50*GeV], [375.0*GeV, 200.0*GeV, 50*GeV]], 0.114613*pb],
[[[400.0*GeV, 150.0*GeV, 50*GeV], [400.0*GeV, 150.0*GeV, 50*GeV]], 0.093688*pb],
[[[400.0*GeV, 175.0*GeV, 50*GeV], [400.0*GeV, 175.0*GeV, 50*GeV]], 0.0949314*pb],
[[[400.0*GeV, 200.0*GeV, 50*GeV], [400.0*GeV, 200.0*GeV, 50*GeV]], 0.0907503*pb],
[[[400.0*GeV, 225.0*GeV, 50*GeV], [400.0*GeV, 225.0*GeV, 50*GeV]], 0.0893755*pb],
[[[425.0*GeV, 150.0*GeV, 50*GeV], [425.0*GeV, 150.0*GeV, 50*GeV]], 0.0785035*pb],
[[[425.0*GeV, 175.0*GeV, 50*GeV], [425.0*GeV, 175.0*GeV, 50*GeV]], 0.0793539*pb],
[[[425.0*GeV, 200.0*GeV, 50*GeV], [425.0*GeV, 200.0*GeV, 50*GeV]], 0.0771002*pb],
[[[425.0*GeV, 225.0*GeV, 50*GeV], [425.0*GeV, 225.0*GeV, 50*GeV]], 0.0812131*pb],
[[[425.0*GeV, 250.0*GeV, 50*GeV], [425.0*GeV, 250.0*GeV, 50*GeV]], 0.088463*pb],
[[[450.0*GeV, 150.0*GeV, 50*GeV], [450.0*GeV, 150.0*GeV, 50*GeV]], 0.0682912*pb],
[[[450.0*GeV, 175.0*GeV, 50*GeV], [450.0*GeV, 175.0*GeV, 50*GeV]], 0.0741098*pb],
[[[450.0*GeV, 200.0*GeV, 50*GeV], [450.0*GeV, 200.0*GeV, 50*GeV]], 0.0749739*pb],
[[[450.0*GeV, 225.0*GeV, 50*GeV], [450.0*GeV, 225.0*GeV, 50*GeV]], 0.0664301*pb],
[[[450.0*GeV, 250.0*GeV, 50*GeV], [450.0*GeV, 250.0*GeV, 50*GeV]], 0.0700135*pb],
[[[450.0*GeV, 275.0*GeV, 50*GeV], [450.0*GeV, 275.0*GeV, 50*GeV]], 0.0690489*pb],
[[[475.0*GeV, 150.0*GeV, 50*GeV], [475.0*GeV, 150.0*GeV, 50*GeV]], 0.0628485*pb],
[[[475.0*GeV, 175.0*GeV, 50*GeV], [475.0*GeV, 175.0*GeV, 50*GeV]], 0.0592073*pb],
[[[475.0*GeV, 200.0*GeV, 50*GeV], [475.0*GeV, 200.0*GeV, 50*GeV]], 0.0637769*pb],
[[[475.0*GeV, 225.0*GeV, 50*GeV], [475.0*GeV, 225.0*GeV, 50*GeV]], 0.0634147*pb],
[[[475.0*GeV, 250.0*GeV, 50*GeV], [475.0*GeV, 250.0*GeV, 50*GeV]], 0.0646694*pb],
[[[475.0*GeV, 275.0*GeV, 50*GeV], [475.0*GeV, 275.0*GeV, 50*GeV]], 0.0648877*pb],
[[[475.0*GeV, 300.0*GeV, 50*GeV], [475.0*GeV, 300.0*GeV, 50*GeV]], 0.0611924*pb],
[[[500.0*GeV, 150.0*GeV, 50*GeV], [500.0*GeV, 150.0*GeV, 50*GeV]], 0.0553109*pb],
[[[500.0*GeV, 175.0*GeV, 50*GeV], [500.0*GeV, 175.0*GeV, 50*GeV]], 0.057025*pb],
[[[500.0*GeV, 200.0*GeV, 50*GeV], [500.0*GeV, 200.0*GeV, 50*GeV]], 0.0589132*pb],
[[[500.0*GeV, 225.0*GeV, 50*GeV], [500.0*GeV, 225.0*GeV, 50*GeV]], 0.053897*pb],
[[[500.0*GeV, 250.0*GeV, 50*GeV], [500.0*GeV, 250.0*GeV, 50*GeV]], 0.055011*pb],
[[[500.0*GeV, 275.0*GeV, 50*GeV], [500.0*GeV, 275.0*GeV, 50*GeV]], 0.0615376*pb],
[[[500.0*GeV, 300.0*GeV, 50*GeV], [500.0*GeV, 300.0*GeV, 50*GeV]], 0.0590119*pb],
[[[500.0*GeV, 325.0*GeV, 50*GeV], [500.0*GeV, 325.0*GeV, 50*GeV]], 0.0562124*pb],
[[[525.0*GeV, 150.0*GeV, 50*GeV], [525.0*GeV, 150.0*GeV, 50*GeV]], 0.0492959*pb],
[[[525.0*GeV, 175.0*GeV, 50*GeV], [525.0*GeV, 175.0*GeV, 50*GeV]], 0.049046*pb],
[[[525.0*GeV, 200.0*GeV, 50*GeV], [525.0*GeV, 200.0*GeV, 50*GeV]], 0.0520485*pb],
[[[525.0*GeV, 225.0*GeV, 50*GeV], [525.0*GeV, 225.0*GeV, 50*GeV]], 0.0539657*pb],
[[[525.0*GeV, 250.0*GeV, 50*GeV], [525.0*GeV, 250.0*GeV, 50*GeV]], 0.0505033*pb],
[[[525.0*GeV, 275.0*GeV, 50*GeV], [525.0*GeV, 275.0*GeV, 50*GeV]], 0.0541302*pb],
[[[525.0*GeV, 300.0*GeV, 50*GeV], [525.0*GeV, 300.0*GeV, 50*GeV]], 0.0536085*pb],
[[[525.0*GeV, 325.0*GeV, 50*GeV], [525.0*GeV, 325.0*GeV, 50*GeV]], 0.0521264*pb],
[[[525.0*GeV, 350.0*GeV, 50*GeV], [525.0*GeV, 350.0*GeV, 50*GeV]], 0.0491347*pb],
[[[550.0*GeV, 150.0*GeV, 50*GeV], [550.0*GeV, 150.0*GeV, 50*GeV]], 0.0467114*pb],
[[[550.0*GeV, 175.0*GeV, 50*GeV], [550.0*GeV, 175.0*GeV, 50*GeV]], 0.0469956*pb],
[[[550.0*GeV, 200.0*GeV, 50*GeV], [550.0*GeV, 200.0*GeV, 50*GeV]], 0.0474075*pb],
[[[550.0*GeV, 225.0*GeV, 50*GeV], [550.0*GeV, 225.0*GeV, 50*GeV]], 0.0458575*pb],
[[[550.0*GeV, 250.0*GeV, 50*GeV], [550.0*GeV, 250.0*GeV, 50*GeV]], 0.0481402*pb],
[[[550.0*GeV, 275.0*GeV, 50*GeV], [550.0*GeV, 275.0*GeV, 50*GeV]], 0.048371*pb],
[[[550.0*GeV, 300.0*GeV, 50*GeV], [550.0*GeV, 300.0*GeV, 50*GeV]], 0.0496851*pb],
