#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: WWb-SF
# Mother  Daughter  Eff. 
160   30   0.0306805
280   20   0.0254137
260   180   0.0271981
280   30   0.0258396
230   40   0.0298927
330   190   0.0318682
340   0   0.0200097
330   80   0.0229832
240   70   0.0306783
270   190   0.0276176
180   60   0.0319426
180   20   0.0325527
280   80   0.0265695
290   60   0.0255741
330   50   0.0211341
140   0   0.0267024
290   160   0.0325406
170   70   0.0284054
350   150   0.0253248
240   30   0.0293034
160   130   0.0000000
160   70   0.0225894
200   10   0.0323873
230   190   0.0000000
200   160   0.0000063
200   80   0.0323706
260   90   0.0308076
340   70   0.0211698
250   140   0.0331519
230   110   0.0333526
190   70   0.0320283
320   110   0.0255331
240   100   0.0335233
230   20   0.0303350
340   130   0.0242656
140   30   0.0249101
250   80   0.0303587
260   160   0.0328436
100   30   0.0005629
220   160   0.0083437
180   30   0.0323774
340   160   0.0269857
220   50   0.0315927
220   110   0.0319123
130   20   0.0222405
160   60   0.0264299
260   10   0.0269272
250   180   0.0197167
280   40   0.0261287
290   180   0.0338059
220   20   0.0306740
330   70   0.0218620
220   180   0.0000000
200   0   0.0317733
270   20   0.0256904
320   130   0.0271510
220   190   0.0000000
210   150   0.0079421
170   50   0.0305454
180   0   0.0318738
280   190   0.0315662
130   60   0.0073708
290   170   0.0332292
320   160   0.0296027
250   170   0.0262263
330   120   0.0245354
210   20   0.0309845
170   10   0.0320729
350   170   0.0274091
110   80   0.0000000
180   90   0.0256142
200   50   0.0320257
240   150   0.0299605
340   150   0.0253844
280   180   0.0338384
210   170   0.0000000
320   120   0.0262391
190   110   0.0225801
350   100   0.0214008
230   100   0.0325971
190   150   0.0000000
330   10   0.0208107
200   120   0.0233189
100   10   0.0044363
100   50   0.0000000
220   30   0.0305035
140   40   0.0225447
220   130   0.0296833
280   170   0.0339827
180   50   0.0323617
240   140   0.0327193
230   30   0.0307946
220   70   0.0320752
210   70   0.0328691
290   0   0.0245404
350   110   0.0222848
280   60   0.0269632
350   160   0.0267126
120   10   0.0175447
340   20   0.0196871
280   90   0.0276870
130   90   0.0000000
290   20   0.0241024
220   120   0.0315585
240   20   0.0294360
240   160   0.0263305
330   100   0.0239970
150   70   0.0172573
250   100   0.0315582
270   10   0.0253711
260   140   0.0323311
280   100   0.0292063
250   30   0.0287560
210   50   0.0323791
180   130   0.0001224
290   150   0.0329296
270   120   0.0319598
280   160   0.0333160
340   110   0.0233746
280   70   0.0275393
240   10   0.0284319
200   130   0.0165759
330   0   0.0210003
340   40   0.0199515
150   110   0.0000000
190   140   0.0001577
210   120   0.0281858
220   60   0.0325972
320   40   0.0215904
230   120   0.0330346
140   50   0.0201463
160   0   0.0313189
120   90   0.0000000
350   0   0.0194756
320   30   0.0222706
330   130   0.0260193
240   80   0.0311399
350   140   0.0241916
290   50   0.0248429
130   30   0.0194161
140   20   0.0263525
130   40   0.0172304
290   10   0.0231796
270   160   0.0343817
330   180   0.0307356
290   190   0.0334352
290   130   0.0302863
210   30   0.0311846
260   120   0.0323496
260   40   0.0279904
210   180   0.0000000
190   30   0.0327060
280   10   0.0248477
200   40   0.0327544
350   130   0.0234693
250   190   0.0097481
350   10   0.0191971
130   10   0.0234086
160   20   0.0305594
140   110   0.0000000
230   10   0.0300498
170   80   0.0249677
190   100   0.0269391
200   90   0.0313190
250   120   0.0328020
270   0   0.0263080
220   150   0.0177205
290   120   0.0291393
280   0   0.0250879
330   20   0.0203564
240   180   0.0092374
220   90   0.0328509
230   70   0.0312804
260   150   0.0335610
120   40   0.0096585
140   60   0.0156888
160   110   0.0000400
240   110   0.0327576
340   80   0.0215897
330   60   0.0222432
180   40   0.0322623
170   120   0.0000522
210   90   0.0331671
260   130   0.0327976
250   10   0.0288828
130   0   0.0230167
100   0   0.0053131
240   130   0.0330278
330   110   0.0242367
260   0   0.0272241
190   80   0.0312490
140   100   0.0000000
150   80   0.0106462
320   70   0.0226675
110   30   0.0064701
150   10   0.0295966
330   90   0.0235878
150   90   0.0027438
150   100   0.0000280
140   70   0.0089673
260   100   0.0308537
250   0   0.0285069
280   50   0.0268283
170   60   0.0296528
210   10   0.0316837
230   0   0.0292920
210   0   0.0312898
110   60   0.0000000
210   110   0.0308002
340   170   0.0283631
320   100   0.0250513
230   180   0.0005616
210   140   0.0177001
250   150   0.0321912
340   60   0.0206721
150   30   0.0277979
120   80   0.0000000
290   80   0.0259950
240   170   0.0190526
200   60   0.0326014
320   60   0.0226128
230   170   0.0084587
160   120   0.0000000
230   160   0.0182835
190   160   0.0000000
270   140   0.0329868
290   30   0.0246757
270   80   0.0279851
260   20   0.0268321
320   50   0.0222526
120   50   0.0046725
160   90   0.0123167
330   150   0.0277747
170   130   0.0000000
330   40   0.0211384
340   50   0.0208967
280   130   0.0314086
240   50   0.0293099
190   120   0.0153677
270   110   0.0302274
270   100   0.0299006
130   80   0.0000000
270   30   0.0264220
140   10   0.0266138
320   80   0.0234643
260   30   0.0270474
340   190   0.0307232
280   140   0.0326684
210   130   0.0246052
170   90   0.0194161
240   120   0.0329961
180   140   0.0000000
240   90   0.0326260
180   150   0.0000000
160   10   0.0308521
120   20   0.0168021
200   150   0.0002969
170   0   0.0324094
250   110   0.0321811
110   50   0.0000818
200   170   0.0000000
270   150   0.0328106
190   50   0.0324546
100   60   0.0000000
330   30   0.0204787
100   40   0.0000107
230   150   0.0251503
230   90   0.0330443
110   70   0.0000000
340   90   0.0218802
170   110   0.0044190
320   140   0.0276052
270   90   0.0298002
190   0   0.0324531
120   30   0.0140196
120   60   0.0003961
250   50   0.0279447
280   110   0.0291104
350   120   0.0227508
260   80   0.0298918
120   0   0.0187228
230   60   0.0306244
160   80   0.0182276
210   100   0.0315195
160   50   0.0283202
250   40   0.0290622
170   30   0.0320961
220   40   0.0310535
130   100   0.0000000
100   70   0.0000000
230   140   0.0295969
250   20   0.0281681
140   80   0.0021680
270   60   0.0269595
260   190   0.0200365
230   80   0.0320305
230   50   0.0305668
150   120   0.0000000
200   110   0.0282012
320   150   0.0294690
220   100   0.0326821
200   70   0.0328988
160   100   0.0040943
340   120   0.0234850
210   60   0.0323340
330   140   0.0265078
340   10   0.0196467
190   40   0.0319523
260   70   0.0292552
270   70   0.0280887
320   90   0.0242868
220   140   0.0237668
180   100   0.0219310
150   40   0.0258656
190   90   0.0298856
170   40   0.0310744
260   60   0.0283511
320   170   0.0308712
240   60   0.0308754
220   170   0.0004614
290   110   0.0285014
270   180   0.0305906
290   100   0.0285687
270   40   0.0266283
290   140   0.0311141
250   130   0.0331559
150   50   0.0257310
220   10   0.0316151
110   0   0.0117759
160   40   0.0286696
180   70   0.0302396
340   30   0.0202251
230   130   0.0319548
150   20   0.0292965
180   10   0.0319818
240   0   0.0297170
320   180   0.0316955
210   80   0.0327822
280   120   0.0302282
270   170   0.0330595
240   190   0.0006097
170   20   0.0314381
290   70   0.0257533
130   50   0.0126870
120   70   0.0000000
260   50   0.0276913
290   40   0.0251582
110   40   0.0026992
110   10   0.0116627
150   60   0.0220642
250   70   0.0300563
190   10   0.0316480
190   130   0.0061151
340   100   0.0224023
320   190   0.0334347
220   0   0.0309648
340   140   0.0256182
330   170   0.0288957
270   130   0.0325265
150   0   0.0294811
100   20   0.0028207
140   90   0.0000111
180   80   0.0287826
190   20   0.0316998
250   160   0.0302496
170   140   0.0000000
210   160   0.0003538
330   160   0.0282922
240   40   0.0290217
250   90   0.0311613
280   150   0.0334850
200   140   0.0069427
180   110   0.0147497
180   120   0.0057267
220   80   0.0331350
250   60   0.0294198
260   110   0.0320557
340   180   0.0299319
270   50   0.0269665
260   170   0.0300841
130   70   0.0010708
