#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: WWc-SF
# Mother  Daughter  Eff. 
160   30   0.0451849
280   20   0.1012349
260   180   0.0279750
280   30   0.1013693
230   40   0.0831556
330   190   0.0806711
340   0   0.1155835
330   80   0.1087680
240   70   0.0824098
270   190   0.0287921
180   60   0.0495238
180   20   0.0610694
280   80   0.0950627
290   60   0.1002114
330   50   0.1101703
140   0   0.0328405
290   160   0.0724168
170   70   0.0343402
350   150   0.1028158
240   30   0.0877461
160   130   0.0000000
160   70   0.0223824
200   10   0.0748266
230   190   0.0000000
200   160   0.0000000
200   80   0.0548632
260   90   0.0860888
340   70   0.1104464
250   140   0.0562794
230   110   0.0607923
190   70   0.0518533
320   110   0.1020921
240   100   0.0730687
230   20   0.0860316
340   130   0.1020053
140   30   0.0268833
250   80   0.0848083
260   160   0.0500565
100   30   0.0000000
220   160   0.0021594
180   30   0.0593499
340   160   0.0965913
220   50   0.0777688
220   110   0.0518566
130   20   0.0211134
160   60   0.0305702
260   10   0.0961964
250   180   0.0147243
280   40   0.1011587
290   180   0.0601688
220   20   0.0824811
330   70   0.1096666
220   180   0.0000000
200   0   0.0740634
270   20   0.0988121
320   130   0.0970933
220   190   0.0000000
210   150   0.0018654
170   50   0.0452119
180   0   0.0627216
280   190   0.0411034
130   60   0.0011823
290   170   0.0677055
320   160   0.0893582
250   170   0.0272537
330   120   0.1018829
210   20   0.0768905
170   10   0.0565339
350   170   0.0972404
110   80   0.0000000
180   90   0.0282264
200   50   0.0660376
240   150   0.0381023
340   150   0.0986111
280   180   0.0507858
210   170   0.0000000
320   120   0.0996662
190   110   0.0204401
350   100   0.1100180
230   100   0.0661808
190   150   0.0000000
330   10   0.1130494
200   120   0.0220934
100   10   0.0002365
100   50   0.0000000
220   30   0.0811353
140   40   0.0224288
220   130   0.0360645
280   170   0.0592761
180   50   0.0534960
240   140   0.0472848
230   30   0.0862853
220   70   0.0726974
210   70   0.0661602
290   0   0.1043621
350   110   0.1083019
280   60   0.0992780
350   160   0.1005247
120   10   0.0137594
340   20   0.1128892
280   90   0.0926194
130   90   0.0000000
290   20   0.1038056
220   120   0.0441777
240   20   0.0902542
240   160   0.0268654
330   100   0.1062352
150   70   0.0120921
250   100   0.0778539
270   10   0.0985680
260   140   0.0632385
280   100   0.0909456
250   30   0.0935197
210   50   0.0724284
180   130   0.0000000
290   150   0.0791140
270   120   0.0814896
280   160   0.0659990
340   110   0.1069583
280   70   0.0968487
240   10   0.0891183
200   130   0.0106438
330   0   0.1118403
340   40   0.1117530
150   110   0.0000000
190   140   0.0000000
210   120   0.0336225
220   60   0.0757578
320   40   0.1090696
230   120   0.0542595
140   50   0.0171151
160   0   0.0501215
120   90   0.0000000
350   0   0.1163787
320   30   0.1105415
330   130   0.1001571
240   80   0.0804998
350   140   0.1036197
290   50   0.1031878
130   30   0.0167470
140   20   0.0306018
130   40   0.0127182
290   10   0.1023734
270   160   0.0590504
330   180   0.0854636
290   190   0.0514954
290   130   0.0875513
210   30   0.0760182
260   120   0.0752194
260   40   0.0952153
210   180   0.0000000
190   30   0.0662248
280   10   0.1029095
200   40   0.0711632
350   130   0.1051532
250   190   0.0029507
350   10   0.1154638
130   10   0.0237571
160   20   0.0479682
140   110   0.0000000
230   10   0.0871292
170   80   0.0259217
190   100   0.0308561
200   90   0.0484716
250   120   0.0684553
270   0   0.0992314
220   150   0.0122009
290   120   0.0905831
280   0   0.1011648
330   20   0.1102457
240   180   0.0027624
220   90   0.0637389
230   70   0.0771813
260   150   0.0566542
120   40   0.0034587
140   60   0.0099595
160   110   0.0000000
240   110   0.0667266
340   80   0.1109794
330   60   0.1093223
180   40   0.0566792
170   120   0.0000000
210   90   0.0574721
260   130   0.0705828
250   10   0.0948904
130   0   0.0241634
100   0   0.0004508
240   130   0.0557208
330   110   0.1046724
260   0   0.0968244
190   80   0.0463521
140   100   0.0000000
150   80   0.0041007
320   70   0.1072631
110   30   0.0010562
150   10   0.0408886
330   90   0.1069837
150   90   0.0001007
150   100   0.0000000
140   70   0.0027238
260   100   0.0828544
250   0   0.0946942
280   50   0.1002382
170   60   0.0404042
210   10   0.0785147
230   0   0.0865135
210   0   0.0786003
110   60   0.0000000
210   110   0.0435747
340   170   0.0941119
320   100   0.1032829
230   180   0.0000059
210   140   0.0120289
250   150   0.0481831
340   60   0.1133724
150   30   0.0364489
120   80   0.0000000
290   80   0.0975503
240   170   0.0137682
200   60   0.0641890
320   60   0.1086911
230   170   0.0021806
160   120   0.0000000
230   160   0.0131798
190   160   0.0000000
270   140   0.0709804
290   30   0.1037573
270   80   0.0911300
260   20   0.0965488
320   50   0.1094597
120   50   0.0002965
160   90   0.0055226
330   150   0.0951060
170   130   0.0000000
330   40   0.1100309
340   50   0.1129317
280   130   0.0829802
240   50   0.0852867
190   120   0.0093958
270   110   0.0838155
270   100   0.0872493
130   80   0.0000000
270   30   0.0982760
140   10   0.0323569
320   80   0.1063441
260   30   0.0957641
340   190   0.0864779
280   140   0.0772720
210   130   0.0235368
170   90   0.0164914
