#MA5 EffMap for txName: TSlepSlep , Analysis: atlas_susy_2013_11 , SR: mT2-90-SF
# Mother  Daughter  Eff. 
160   30   0.0560580
280   20   0.1074707
260   180   0.0393430
280   30   0.1079726
230   40   0.0910446
330   190   0.0888908
340   0   0.1207609
330   80   0.1145707
240   70   0.0908522
270   190   0.0405260
180   60   0.0605992
180   20   0.0712060
280   80   0.1022543
290   60   0.1068068
330   50   0.1159410
140   0   0.0444868
290   160   0.0809874
170   70   0.0460454
350   150   0.1087059
240   30   0.0955581
160   130   0.0000000
160   70   0.0338898
200   10   0.0837929
230   190   0.0000000
200   160   0.0000063
200   80   0.0651578
260   90   0.0942393
340   70   0.1158966
250   140   0.0667051
230   110   0.0704560
190   70   0.0625053
320   110   0.1086062
240   100   0.0825481
230   20   0.0944418
340   130   0.1076673
140   30   0.0386908
250   80   0.0926788
260   160   0.0606527
100   30   0.0006983
220   160   0.0098860
180   30   0.0694460
340   160   0.1034111
220   50   0.0864104
220   110   0.0618182
130   20   0.0329621
160   60   0.0421735
260   10   0.1030717
250   180   0.0257060
280   40   0.1081689
290   180   0.0699611
220   20   0.0904307
330   70   0.1154034
220   180   0.0000000
200   0   0.0829173
270   20   0.1052871
320   130   0.1036789
220   190   0.0000000
210   150   0.0091989
170   50   0.0565251
180   0   0.0722973
280   190   0.0523249
130   60   0.0089078
290   170   0.0768719
320   160   0.0966126
250   170   0.0388152
330   120   0.1081127
210   20   0.0857379
170   10   0.0665584
350   170   0.1037102
110   80   0.0000000
180   90   0.0400981
200   50   0.0754979
240   150   0.0488497
340   150   0.1049462
280   180   0.0612229
210   170   0.0000000
320   120   0.1063585
190   110   0.0318845
350   100   0.1152992
230   100   0.0756966
190   150   0.0000000
330   10   0.1182704
200   120   0.0337966
100   10   0.0054149
100   50   0.0000000
220   30   0.0895497
140   40   0.0339985
220   130   0.0470535
280   170   0.0689224
180   50   0.0644598
240   140   0.0580915
230   30   0.0945756
220   70   0.0821507
210   70   0.0757339
290   0   0.1108272
350   110   0.1138110
280   60   0.1056436
350   160   0.1071582
120   10   0.0247659
340   20   0.1180201
280   90   0.0999528
130   90   0.0000000
290   20   0.1100947
220   120   0.0552527
240   20   0.0977703
240   160   0.0382797
330   100   0.1116741
150   70   0.0235817
250   100   0.0863924
270   10   0.1053407
260   140   0.0725140
280   100   0.0985564
250   30   0.1009421
210   50   0.0813925
180   130   0.0001571
290   150   0.0874289
270   120   0.0895011
280   160   0.0747833
340   110   0.1126889
280   70   0.1038214
240   10   0.0968319
200   130   0.0215695
330   0   0.1170021
340   40   0.1168863
150   110   0.0000000
190   140   0.0001812
210   120   0.0448477
220   60   0.0847010
320   40   0.1146814
230   120   0.0647979
140   50   0.0281352
160   0   0.0608346
120   90   0.0000000
350   0   0.1213155
320   30   0.1161155
330   130   0.1063820
240   80   0.0888501
350   140   0.1094996
290   50   0.1097055
130   30   0.0282416
140   20   0.0423929
130   40   0.0237151
290   10   0.1087633
270   160   0.0686249
330   180   0.0929371
290   190   0.0621030
290   130   0.0949975
210   30   0.0848884
260   120   0.0842732
260   40   0.1023458
210   180   0.0000000
190   30   0.0759800
280   10   0.1091501
200   40   0.0802775
350   130   0.1111883
250   190   0.0115798
350   10   0.1206365
130   10   0.0352805
160   20   0.0585674
140   110   0.0000000
230   10   0.0952917
170   80   0.0379414
190   100   0.0423745
200   90   0.0592591
250   120   0.0781450
270   0   0.1062159
220   150   0.0233657
290   120   0.0979600
280   0   0.1075040
330   20   0.1154729
240   180   0.0109063
220   90   0.0736564
230   70   0.0857195
260   150   0.0666902
120   40   0.0124468
140   60   0.0209672
160   110   0.0000513
240   110   0.0759103
340   80   0.1165971
330   60   0.1149235
180   40   0.0671240
170   120   0.0000636
210   90   0.0672781
260   130   0.0796639
250   10   0.1018307
130   0   0.0355906
100   0   0.0066253
240   130   0.0656301
330   110   0.1109299
260   0   0.1040432
190   80   0.0576082
140   100   0.0000000
150   80   0.0131210
320   70   0.1130716
110   30   0.0081288
150   10   0.0522848
