#          mHc_GeV            mH0_GeV          width_GeV                eff
     1.0000000e+02      9.9843000e+01      6.5820000e-14      1.5294000e-06
     1.0000000e+02      9.9843000e+01      4.3880000e-14      9.7897000e-06
     1.0000000e+02      9.9843000e+01      3.2910000e-14      3.1103000e-05
     1.0000000e+02      9.9843000e+01      2.6328000e-14      6.9484000e-05
     1.0000000e+02      9.9843000e+01      2.1940000e-14      1.2367000e-04
     1.0000000e+02      9.9843000e+01      1.6455000e-14      2.7505000e-04
     1.0000000e+02      9.9843000e+01      1.3164000e-14      4.6709000e-04
     1.0000000e+02      9.9843000e+01      1.0970000e-14      6.7872000e-04
     1.0000000e+02      9.9843000e+01      9.4028571e-15      9.0521000e-04
     1.0000000e+02      9.9843000e+01      8.2275000e-15      1.1242000e-03
     1.0000000e+02      9.9843000e+01      7.3133333e-15      1.3350000e-03
     1.0000000e+02      9.9843000e+01      6.5820000e-15      1.5349000e-03
     1.0000000e+02      9.9843000e+01      4.3880000e-15      2.3250000e-03
     1.0000000e+02      9.9843000e+01      3.2910000e-15      2.8149000e-03
     1.0000000e+02      9.9843000e+01      2.6328000e-15      3.0847000e-03
     1.0000000e+02      9.9843000e+01      2.1940000e-15      3.2232000e-03
     1.0000000e+02      9.9843000e+01      1.6455000e-15      3.2942000e-03
     1.0000000e+02      9.9843000e+01      1.3164000e-15      3.2300000e-03
     1.0000000e+02      9.9843000e+01      1.0970000e-15      3.1097000e-03
     1.0000000e+02      9.9843000e+01      9.4028571e-16      2.9657000e-03
     1.0000000e+02      9.9843000e+01      8.2275000e-16      2.8360000e-03
     1.0000000e+02      9.9843000e+01      7.3133333e-16      2.7004000e-03
     1.0000000e+02      9.9843000e+01      6.5820000e-16      2.5707000e-03
     1.0000000e+02      9.9843000e+01      4.3880000e-16      2.0563000e-03
     1.0000000e+02      9.9843000e+01      3.2910000e-16      1.7063000e-03
     1.0000000e+02      9.9843000e+01      2.6328000e-16      1.4502000e-03
     1.0000000e+02      9.9843000e+01      2.1940000e-16      1.2669000e-03
     1.0000000e+02      9.9843000e+01      1.6455000e-16      1.0032000e-03
     1.0000000e+02      9.9843000e+01      1.3164000e-16      8.3071000e-04
     1.0000000e+02      9.9843000e+01      1.0970000e-16      7.1108000e-04
     1.0000000e+02      9.9843000e+01      9.4028571e-17      6.2074000e-04
     1.0000000e+02      9.9843000e+01      8.2275000e-17      5.5353000e-04
     1.0000000e+02      9.9843000e+01      7.3133333e-17      4.9565000e-04
     1.0000000e+02      9.9843000e+01      6.5820000e-17      4.4939000e-04
     2.0000000e+02      1.9984300e+02      6.5820000e-14      3.2574000e-07
