analysis        sr                    obs      bkg      bkgerr 
cms_sus_16_032  0b_ETmiss_1000        33.0     49.0     16.0   
cms_sus_16_032  0b_ETmiss_1250        9.0      8.4      6.0    
cms_sus_16_032  0b_ETmiss_300         17042.0  16542.0  1200.0 
cms_sus_16_032  0b_ETmiss_500         2028.0   2358.0   200.0  
cms_sus_16_032  0b_ETmiss_750         171.0    181.0    22.0   
cms_sus_16_032  1b_ETmiss_1000        5.0      4.1      1.7    
cms_sus_16_032  1b_ETmiss_250         1768.0   1720.0   230.0  
cms_sus_16_032  1b_ETmiss_300         2402.0   2348.0   260.0  
cms_sus_16_032  1b_ETmiss_500         211.0    224.0    25.0   
cms_sus_16_032  1b_ETmiss_750         19.0     23.4     4.9    
cms_sus_16_032  1c_ETmiss_1000        18.0     17.8     7.1    
cms_sus_16_032  1c_ETmiss_250         6867.0   6177.0   720.0  
cms_sus_16_032  1c_ETmiss_300         10515.0  9664.0   930.0  
cms_sus_16_032  1c_ETmiss_500         926.0    1002.0   100.0  
cms_sus_16_032  1c_ETmiss_750         73.0     88.0     14.0   
cms_sus_16_032  2b_ETmiss_250         70.0     59.0     12.0   
cms_sus_16_032  2b_ETmiss_250_HT_100  127.0    134.0    25.0   
cms_sus_16_032  2b_ETmiss_300         77.0     92.0     18.0   
cms_sus_16_032  2b_ETmiss_300_HT_100  161.0    188.0    32.0   
cms_sus_16_032  2b_ETmiss_500         7.0      3.9      1.3    
cms_sus_16_032  2b_ETmiss_500_HT_100  8.0      14.35    3.7    
cms_sus_16_032  2c_ETmiss_250         364.0    348.0    54.0   
cms_sus_16_032  2c_ETmiss_250_HT_100  508.0    449.0    53.0   
cms_sus_16_032  2c_ETmiss_300         547.0    532.0    60.0   
cms_sus_16_032  2c_ETmiss_300_HT_100  874.0    833.0    81.0   
cms_sus_16_032  2c_ETmiss_500         56.0     70.0     15.0   
cms_sus_16_032  2c_ETmiss_500_HT_100  102.0    130.0    16.0   
cms_sus_16_032  2c_ETmiss_750         2.0      4.1      1.9    
cms_sus_16_032  2c_ETmiss_750_HT_100  8.0      10.1     3.1    
cms_sus_16_032  HT_1000_MCT_150       10.0     11.8     4.4    
cms_sus_16_032  HT_1000_MCT_250       9.0      8.6      2.3    
cms_sus_16_032  HT_1000_MCT_350       4.0      6.6      2.3    
cms_sus_16_032  HT_1000_MCT_450       3.0      3.7      1.3    
cms_sus_16_032  HT_1000_MCT_600       0.0      1.22     0.61   
cms_sus_16_032  HT_1000_MCT_800       0.0      2.5      1.5    
cms_sus_16_032  HT_200_MCT_150        275.0    278.0    40.0   
cms_sus_16_032  HT_200_MCT_250        292.0    266.0    40.0   
cms_sus_16_032  HT_200_MCT_350        57.0     63.0     12.0   
cms_sus_16_032  HT_200_MCT_450        2.0      1.21     0.79   
cms_sus_16_032  HT_500_MCT_150        32.0     31.8     7.6    
cms_sus_16_032  HT_500_MCT_250        27.0     37.9     7.8    
cms_sus_16_032  HT_500_MCT_350        30.0     22.2     4.4    
cms_sus_16_032  HT_500_MCT_450        29.0     28.9     6.8    
cms_sus_16_032  HT_500_MCT_600        6.0      5.7      2.5    
cms_sus_16_032  NSV_ETmiss_1000       0.0      2.0      1.1    
cms_sus_16_032  NSV_ETmiss_250        331.0    357.0    43.0   
cms_sus_16_032  NSV_ETmiss_300        509.0    523.0    57.0   
cms_sus_16_032  NSV_ETmiss_500        52.0     64.2     7.8    
cms_sus_16_032  NSV_ETmiss_750        3.0      6.5      1.3    
